設置單位名稱,地址,站數,經度,緯度
雙宏機車行(僅供臨時充電),新竹市東區寶山路5號,1,24.7942837,120.9732741
綜合體育場(地下停車場),新竹市東區體育街50 號,3,24.8022978,120.9814217
有順機車行(僅供臨時充電),新竹市香山區大庄路67號,1,24.7898127,120.9278332
福興機車行(僅供臨時充電),新竹市香山區中華路五段684之2號,1,24.7587205,120.911344
興源機車行(僅供臨時充電),新竹市香山區中華路五段864號,1,24.7617423,120.9124465
川岩工坊(僅供臨時充電),新竹市香山區五福路二段693號,1,24.7576011,120.9506766
昌益藏音樓公寓大廈(僅供社區住戶使用),新竹市香山區牛埔東路,2,24.7954231,120.9420789
協鑫機車行,新竹市香山區牛埔南路124號,1,24.7964127,120.9403243
永德機車行,新竹市香山區牛埔路250號,1,24.8002961,120.948088
牛埔停車場,新竹市香山區牛埔路387 號,3,24.797401,120.9424689
虎山里-土地公廟,新竹市香山區延平路二段294 號,1,24.8076294,120.9351165
虎山里-集會所,新竹市香山區華江街69 巷50 號,1,24.80874,120.9193757
