no,name,lat,lng
113,新竹市延平路一段406巷中全景,24.8058737,120.9492764
114,新竹市延平路一段406巷全景,24.8058737,120.9492764
115,新竹市延平一段357巷全景(集會所前),24.8035997,120.9477653
116,新竹市延平一段317與357巷口全景,24.8035997,120.9477653
117,新竹市延平一段357巷照巷底,24.7924343,120.9423748
118,新竹市延平路一段291巷64號前,24.7979232,120.9562374
119,新竹市警光路12巷口往中華路,24.7979232,120.9562374
120,新竹市中山崧嶺往中華路,24.796845,120.9579433
121,新竹市中山中華往牛埔路,24.8029643,120.9501104
122,新竹市中山橋往警光23巷全景,24.8019091,120.969067
123,新竹市中山橋往牛埔警光路全景,24.8034665,120.948382
124,新竹市台溪集會所停車場一,24.7992636,120.9939722
125,新竹市台溪集會所停車場二,24.7992636,120.9939722
126,新竹市林森四維往林森中華路,24.8019091,120.969067
127,新竹市中華四維往中華林森路,24.7984849,120.9632224
128,新竹市中華四維往四維加油站,24.800209,120.9614472
129,新竹市警光路往中山路車牌,24.7953999,120.9650686
130,新竹市西門街與四維路1,24.7979232,120.9562374
131,新竹市西門街與四維路2,24.8024185,120.9553253
132,新竹市中和經國往民富街,24.799345,120.9531864
133,新竹市中和路136巷口,24.8016836,120.9538874
134,新竹市中和經國牛埔路,24.805146,120.9537019
135,新竹市經國北新往中和,24.8180881,120.973787
136,新竹市經國二段620巷口,24.7975024,120.9632352
137,新竹市延平經國往延平往北大方向(全),24.806006,120.954193
138,新竹市延平路一段214巷34弄,24.806006,120.954193
139,新竹市延平路一段往經國方向(全),24.8033515,120.951178
140,新竹市延平路一段261巷10弄口全,24.8039649,120.9525587
141,新竹市延平路一段261巷20弄口全,24.8037669,120.9520484
142,新竹市延平一段261巷1弄口,24.8031478,120.9511005
143,新竹市延平一段261巷,24.8022959,120.950316
144,新竹市延平一段261巷8弄,24.8048063,120.9554787
145,新竹市延平一段261巷7弄,24.8030841,120.9521142
146,新竹市延平一段261巷照巷底,24.8037669,120.9520484
147,新竹市延平一261巷與14弄口,24.8067372,120.9362595
148,新竹市延平一261巷18弄朝內,24.8023916,120.9511008
149,新竹市延平一261巷14弄朝外,24.8022501,120.9506248
150,新竹市集賢街17巷口(全景),24.805146,120.9537019
151,新竹市集合街與集賢街口(全景),24.8037995,120.9623438
152,新竹市延平一與延平38巷口,24.8023916,120.9511008
153,新竹市中山延平往延平路一段,24.8050652,120.951039
154,新竹市集福街巷照巷內,24.8050652,120.951039
155,新竹市竹光路與延平路一段,24.8034665,120.948382
156,新竹市延平路一段與317巷口,24.7922836,120.9612994
157,新竹市南大路672巷4弄口,24.7977058,120.9560892
158,新竹市崧嶺路往中山路,24.7977058,120.9560892
159,新竹市崧嶺路57巷牌樓旁,24.7977058,120.9560892
160,新竹市中山崧嶺路,24.7932136,120.954498
161,新竹市崧嶺路128巷口,24.7977058,120.9560892
162,新竹市崧嶺路128巷中,24.7913661,120.9528108
163,新竹市成德一街照成德樓(全景)1,24.7913661,120.9528108
