編號,設置單位名稱,地址,站數,充電設備名稱,備註,經度,緯度
75,福明車行(僅供臨時充電),新竹市東區明湖路469號,1,,加入,24.7802073,120.9676571
76,玄新車業股公司,新竹市東區明湖路486巷1弄3號,1,89年充電設備,加入,24.7708326,120.97186829999998
77,順益車行(僅供臨時充電),新竹市東區東門街21號,1,,加入,24.8041408,120.97370239999998
78,新竹市警察局-東門派出所,新竹市東區東門街87 號,1,e-moving充電設施,加入,24.8041209,120.96983790000002
79,信成機車行,新竹市東區東南街65號,1,89年充電設備,加入,24.7993164,120.97318569999993
80,增鴻機車行(僅供臨時充電),新竹市東區金山十街10號,1,,加入,24.778242,121.02152439999998
81,立業機車行(僅供臨時充電),新竹市東區南大路566號1F,1,,加入,24.7945181,120.96416999999997
82,赤土崎停車場,新竹市東區建中路2 號,2,e-moving充電設施,加入,24.801506,120.995361
83,東昊生活館公寓大廈(僅供社區住戶使用),新竹市東區科學園路,2,,加入,24.7834956,121.01119510000001
84,欣輪機車行(僅供臨時充電),新竹市東區食品路199號,1,,加入,24.7963281,120.97528280000006
85,盛興機車行(僅供臨時充電),新竹市東區食品路376號,1,,加入,24.7939397,120.96917029999997
86,九福機車行,新竹市東區高翠路266號,1,89年充電設備,加入,24.7794376,120.98588849999999
87,十八尖山停車場,新竹市東區博愛街5巷,3,e-moving充電設施,加入,24.7961006,120.98709919999999
88,駿業車業(僅供臨時充電),新竹市東區學府路357號1F,1,,加入,24.797278,120.98532160000002
89,信南機車行,新竹市東區寶山路38號,1,89年充電設備,加入,24.7937697,120.97371850000002
90,雙宏機車行(僅供臨時充電),新竹市東區寶山路5號,1,,加入,24.7942837,120.97327410000003
91,綜合體育場(地下停車場),新竹市東區體育街50 號,3,e-moving充電設施,加入,24.8022978,120.98142170000006
92,有順機車行(僅供臨時充電),新竹市香山區大庄路67號,1,,加入,24.7898127,120.92783320000001
93,福興機車行(僅供臨時充電),新竹市香山區中華路五段684之2號,1,,加入,24.7587205,120.91134399999999
94,興源機車行(僅供臨時充電),新竹市香山區中華路五段864號,1,,加入,24.7617423,120.91244649999999
95,川岩工坊(僅供臨時充電),新竹市香山區五福路二段693號,1,,加入,24.7576011,120.95067659999995
96,昌益藏音樓公寓大廈(僅供社區住戶使用),新竹市香山區牛埔東路,2,,加入,24.7954231,120.94207890000007
97,協鑫機車行,新竹市香山區牛埔南路124號,1,89年充電設備,加入,24.7964127,120.94032429999993
98,永德機車行,新竹市香山區牛埔路250號,1,89年充電設備,加入,24.8002961,120.94808799999998
99,牛埔停車場,新竹市香山區牛埔路387 號,3,e-moving充電設施,加入,24.797401,120.9424689
100,虎山里-土地公廟,新竹市香山區延平路二段294 號,1,e-moving充電設施,加入,24.8076294,120.93511650000005
101,虎山里-集會所,新竹市香山區華江街69 巷50 號,1,e-moving充電設施,加入,24.80874,120.91937570000005
